"10224","add_to_cart","Popcorn","Food","0.99","44.86","14","4","2017-06-23 16:20:08 UTC"

"12411","add_to_cart","Popcorn","Food","0.99","28.929999999999996","7","4","2017-06-23 16:20:08 UTC"

"11769","add_to_cart","Frozen Foods","Food","6.99","138.91","9","3","2017-06-23 16:20:09 UTC"

"14431","add_to_cart","Canned Foods","Food","6.99","142.38","22","7","2017-06-23 16:20:10 UTC"

"15445","add_to_cart","Canned Foods","Food","6.99","38.879999999999995","12","3","2017-06-23 16:20:14 UTC"

"12513","add_to_cart","Club Soda","Drinks","2.99","14.950000000000001","5","1","2017-06-23 16:20:14 UTC"

"11199","add_to_cart","Club Soda","Drinks","2.99","14.950000000000001","5","1","2017-06-23 16:20:16 UTC"

"14605","add_to_cart","Frozen Foods","Food","6.99","149.89999999999998","10","3","2017-06-23 16:20:17 UTC"

"10551","add_to_cart","Chips","Food","1.99","22.91","9","2","2017-06-23 16:20:17 UTC"

"15056","add_to_cart","Cheese","Food","3.99","122.08","12","5","2017-06-23 16:20:19 UTC"

"15056","add_to_cart","Personal Care","Home Products","4.99","35.98","2","2","2017-06-23 16:20:22 UTC"

"12867","add_to_cart","Club Soda","Drinks","2.99","14.950000000000001","5","1","2017-06-23 16:20:26 UTC"

"14583","add_to_cart","Canned Foods","Food","6.99","31.93","7","3","2017-06-23 16:20:27 UTC"

"12630","add_to_cart","Medicines","Medical Products","20.99","103.91999999999999","8","2","2017-06-23 16:20:30 UTC"

"10697","add_to_cart","Chips","Food","1.99","6.970000000000001","3","2","2017-06-23 16:20:30 UTC"

"15222","add_to_cart","Frozen Foods","Food","6.99","96.93","7","2","2017-06-23 16:20:31 UTC"

"10529","add_to_cart","Chips","Food","1.99","22.91","9","2","2017-06-23 16:20:32 UTC"

"14158","add_to_cart","Office Supplies","Home Products","12.99","78.91","9","2","2017-06-23 16:20:33 UTC"

"12345","add_to_cart","Canned Foods","Food","6.99","45.87","13","3","2017-06-23 16:20:33 UTC"

"13403","add_to_cart","Chips","Food","1.99","9.96","4","2","2017-06-23 16:20:39 UTC"

"15006","add_to_cart","Chips","Food","1.99","9.96","4","2","2017-06-23 16:20:40 UTC"

"13746","add_to_cart","Spices","Food","15.99","94.95","5","2","2017-06-23 16:20:43 UTC"

"12000","add_to_cart","Canned Foods","Food","6.99","39.93000000000001","7","3","2017-06-23 16:20:43 UTC"

"10186","add_to_cart","Baby wash","Toiletries","7.99","59.580000000000005","12","3","2017-06-23 16:20:44 UTC"

"10993","add_to_cart","Club Soda","Drinks","2.99","11.96","4","1","2017-06-23 16:20:48 UTC"

"14810","add_to_cart","Chips","Food","1.99","22.91","9","2","2017-06-23 16:20:48 UTC"

"10554","add_to_cart","Medicines","Medical Products","20.99","38.44","6","2","2017-06-23 16:20:50 UTC"

"12659","add_to_cart","Canned Foods","Food","6.99","33.91","9","3","2017-06-23 16:20:50 UTC"

"15027","add_to_cart","Canned Foods","Food","6.99","52.86","14","3","2017-06-23 16:20:51 UTC"

"14996","add_to_cart","Canned Foods","Food","6.99","40.89","11","3","2017-06-23 16:20:52 UTC"

"12304","add_to_cart","Canned Foods","Food","6.99","34.92","8","3","2017-06-23 16:20:52 UTC"

"10694","add_to_cart","Popcorn","Food","0.99","48.86000000000001","14","4","2017-06-23 16:20:54 UTC"

"11153","add_to_cart","Canned Foods","Food","6.99","29.92","8","3","2017-06-23 16:20:58 UTC"

"14711","add_to_cart","Frozen Foods","Food","6.99","207.9","10","3","2017-06-23 16:20:58 UTC"

"14339","add_to_cart","Personal Care","Home Products","4.99","97.96","4","2","2017-06-23 16:21:00 UTC"

"10657","add_to_cart","Cigarettes","Others","10.99","117.7","10","4","2017-06-23 16:21:01 UTC"

"13652","add_to_cart","Wine","Drinks","30.99","92.97","3","1","2017-06-23 16:21:03 UTC"

"11821","add_to_cart","Canned Foods","Food","6.99","51.89","11","3","2017-06-23 16:21:03 UTC"

"14467","add_to_cart","Personal Care","Home Products","4.99","128.95","5","2","2017-06-23 16:21:05 UTC"

"11376","add_to_cart","Personal Care","Home Products","4.99","148.91","9","2","2017-06-23 16:21:06 UTC"

"10755","add_to_cart","Medicines","Medical Products","20.99","124.94999999999999","5","2","2017-06-23 16:21:07 UTC"

"12464","add_to_cart","Formula","Food","6.99","13.98","2","1","2017-06-23 16:21:08 UTC"

"10128","add_to_cart","Lotion","Beauty Products","3.89","144.51","9","3","2017-06-23 16:21:09 UTC"

"14305","add_to_cart","Sports Drink","Drinks","2.99","45.900000000000006","10","3","2017-06-23 16:21:13 UTC"

"14290","add_to_cart","Frozen Foods","Food","6.99","95.43999999999998","6","3","2017-06-23 16:21:14 UTC"

"11365","add_to_cart","Club Soda","Drinks","2.99","5.98","2","1","2017-06-23 16:21:15 UTC"

"10124","add_to_cart","Spices","Food","15.99","93.96","4","2","2017-06-23 16:21:16 UTC"

"14487","add_to_cart","Cleaning Products","Home Products","3.39","137.51999999999998","8","2","2017-06-23 16:21:17 UTC"

"14068","add_to_cart","Frozen Foods","Food","6.99","86.95","5","3","2017-06-23 16:21:27 UTC"

"14209","add_to_cart","Club Soda","Drinks","2.99","11.96","4","1","2017-06-23 16:21:28 UTC"

"12006","add_to_cart","Club Soda","Drinks","2.99","2.99","1","1","2017-06-23 16:21:31 UTC"

"12626","add_to_cart","Popcorn","Food","0.99","6.95","5","2","2017-06-23 16:21:33 UTC"

"14631","add_to_cart","Spices","Food","15.99","102.14","16","4","2017-06-23 16:21:33 UTC"

"14528","add_to_cart","Kitchen Items","Home Products","8.99","61.93000000000001","9","3","2017-06-23 16:21:36 UTC"

"11747","add_to_cart","Medicines","Medical Products","20.99","187.1","10","3","2017-06-23 16:21:36 UTC"

"10533","add_to_cart","Club Soda","Drinks","2.99","49.900000000000006","10","3","2017-06-23 16:21:37 UTC"

"10547","add_to_cart","Kitchen Items","Home Products","8.99","90.71000000000001","9","3","2017-06-23 16:21:38 UTC"

"13268","add_to_cart","Medicines","Medical Products","20.99","109.61","7","4","2017-06-23 16:21:38 UTC"

"10264","add_to_cart","Baby Food","Food","5.33","26.65","5","1","2017-06-23 16:21:39 UTC"

"14464","add_to_cart","Wine","Drinks","30.99","30.99","1","1","2017-06-23 16:21:40 UTC"

"12111","add_to_cart","Cheese","Food","3.99","134.94","6","3","2017-06-23 16:21:41 UTC"

"10497","add_to_cart","Popcorn","Food","0.99","20.93","7","4","2017-06-23 16:21:42 UTC"

"11691","add_to_cart","Fresh Fruits","Food","3.49","176.89999999999998","10","3","2017-06-23 16:21:42 UTC"

"14233","add_to_cart","Condiments","Food","5.99","270.92999999999995","27","8","2017-06-23 16:21:43 UTC"

"14040","add_to_cart","Spices","Food","15.99","155.85","15","5","2017-06-23 16:21:43 UTC"

"14679","add_to_cart","Wine","Drinks","30.99","92.97","3","1","2017-06-23 16:21:44 UTC"

"10052","add_to_cart","Canned Foods","Food","6.99","42.879999999999995","12","3","2017-06-23 16:21:45 UTC"

"12869","add_to_cart","Personal Care","Home Products","4.99","104.91","9","3","2017-06-23 16:21:45 UTC"

"13720","add_to_cart","Chips","Food","1.99","10.96","4","2","2017-06-23 16:21:46 UTC"

"13031","add_to_cart","Condiments","Food","5.99","136.27","27","7","2017-06-23 16:21:46 UTC"

"15277","add_to_cart","Sea Food","Food","12.99","185.34","16","7","2017-06-23 16:21:47 UTC"

"14178","add_to_cart","Canned Foods","Food","6.99","29.9","10","3","2017-06-23 16:21:49 UTC"

"10070","add_to_cart","Personal Care","Home Products","4.99","92.91","9","3","2017-06-23 16:21:51 UTC"

"10932","add_to_cart","Chips","Food","1.99","8.96","4","2","2017-06-23 16:21:52 UTC"

"14174","add_to_cart","Condiments","Food","5.99","56.44","8","4","2017-06-23 16:21:57 UTC"

"14922","add_to_cart","Diapers","Medical Products","10.0","20.0","2","1","2017-06-23 16:21:58 UTC"

"10942","add_to_cart","Meat","Food","4.99","219.82","21","8","2017-06-23 16:22:02 UTC"

"12255","add_to_cart","Cigarettes","Others","10.99","139.86","14","5","2017-06-23 16:22:03 UTC"

"13160","add_to_cart","Club Soda","Drinks","2.99","2.99","1","1","2017-06-23 16:22:05 UTC"

"15257","add_to_cart","Chips","Food","1.99","15.93","7","2","2017-06-23 16:22:06 UTC"

"15582","add_to_cart","Spices","Food","15.99","63.96","4","1","2017-06-23 16:22:07 UTC"

"13428","add_to_cart","Chips","Food","1.99","18.93","7","2","2017-06-23 16:22:08 UTC"

"12437","add_to_cart","Canned Foods","Food","6.99","22.92","8","3","2017-06-23 16:22:09 UTC"

"12734","add_to_cart","Popcorn","Food","0.99","4.95","5","1","2017-06-23 16:22:10 UTC"

"10249","add_to_cart","Canned Foods","Food","6.99","44.910000000000004","9","3","2017-06-23 16:22:12 UTC"

"13486","add_to_cart","Cheese","Food","3.99","203.88","12","3","2017-06-23 16:22:12 UTC"

"11039","add_to_cart","Club Soda","Drinks","2.99","5.98","2","1","2017-06-23 16:22:14 UTC"

"14061","add_to_cart","Chips","Food","1.99","24.9","10","2","2017-06-23 16:22:14 UTC"

"11403","add_to_cart","Personal Care","Home Products","4.99","56.85","15","3","2017-06-23 16:22:15 UTC"

"14803","add_to_cart","Canned Foods","Food","6.99","49.89","11","3","2017-06-23 16:22:16 UTC"

"11756","add_to_cart","Wine","Drinks","30.99","61.98","2","1","2017-06-23 16:22:18 UTC"

"14728","add_to_cart","Office Supplies","Home Products","12.99","43.96","4","2","2017-06-23 16:22:20 UTC"

"14176","add_to_cart","Chips","Food","1.99","13.950000000000001","5","2","2017-06-23 16:22:20 UTC"

"15301","add_to_cart","Canned Foods","Food","6.99","37.9","10","3","2017-06-23 16:22:21 UTC"

"14506","add_to_cart","Cheese","Food","3.99","52.69","11","4","2017-06-23 16:22:22 UTC"

"14748","add_to_cart","Canned Foods","Food","6.99","32.900000000000006","10","3","2017-06-23 16:22:23 UTC"

"11217","add_to_cart","Frozen Foods","Food","6.99","151.92","8","2","2017-06-23 16:22:24 UTC"

"12264","add_to_cart","Popcorn","Food","0.99","10.93","7","2","2017-06-23 16:22:25 UTC"

"12629","add_to_cart","Canned Foods","Food","6.99","34.91","9","3","2017-06-23 16:22:25 UTC"

"14783","add_to_cart","Beer","Drinks","2.99","58.330000000000005","9","6","2017-06-23 16:22:27 UTC"

"11345","add_to_cart","Club Soda","Drinks","2.99","8.97","3","1","2017-06-23 16:22:28 UTC"

"12939","add_to_cart","Canned Foods","Food","6.99","49.89","11","3","2017-06-23 16:22:29 UTC"

"12865","add_to_cart","Personal Care","Home Products","4.99","66.97","3","2","2017-06-23 16:22:29 UTC"

