"14738","login","0.0","0","0","2017-06-22 22:37:34 UTC"

"10044","login","0.0","0","0","2017-06-22 22:38:53 UTC"

"12523","login","0.0","0","0","2017-06-22 22:40:03 UTC"

"14595","login","0.0","0","0","2017-06-22 22:40:29 UTC"

"13880","login","0.0","0","0","2017-06-22 22:42:14 UTC"

"10927","login","0.0","0","0","2017-06-22 22:43:01 UTC"

"14320","login","0.0","0","0","2017-06-22 22:44:53 UTC"

"13321","login","0.0","0","0","2017-06-22 22:50:23 UTC"

"11681","login","0.0","0","0","2017-06-22 22:50:27 UTC"

"12717","login","0.0","0","0","2017-06-22 22:50:37 UTC"

"12198","login","0.0","0","0","2017-06-22 22:50:41 UTC"

"15303","login","0.0","0","0","2017-06-22 22:50:42 UTC"

"15389","login","0.0","0","0","2017-06-22 22:50:42 UTC"

"14597","login","0.0","0","0","2017-06-22 22:50:45 UTC"

"10947","login","0.0","0","0","2017-06-22 22:50:45 UTC"

"13318","login","0.0","0","0","2017-06-22 22:50:47 UTC"

"14939","login","0.0","0","0","2017-06-22 22:50:48 UTC"

"15503","login","0.0","0","0","2017-06-22 22:50:49 UTC"

"10814","login","0.0","0","0","2017-06-22 22:50:50 UTC"

"11341","login","0.0","0","0","2017-06-22 22:50:50 UTC"

"13957","login","0.0","0","0","2017-06-22 22:50:52 UTC"

"13486","login","0.0","0","0","2017-06-22 22:50:54 UTC"

"14099","login","0.0","0","0","2017-06-22 22:50:54 UTC"

"15081","login","0.0","0","0","2017-06-22 22:50:55 UTC"

"13061","login","0.0","0","0","2017-06-22 22:50:55 UTC"

"11237","login","0.0","0","0","2017-06-22 22:50:57 UTC"

"11338","login","0.0","0","0","2017-06-22 22:50:58 UTC"

"14002","login","0.0","0","0","2017-06-22 22:50:58 UTC"

"12233","login","0.0","0","0","2017-06-22 22:51:01 UTC"

"15087","login","0.0","0","0","2017-06-22 22:51:01 UTC"

"14223","login","0.0","0","0","2017-06-22 22:51:02 UTC"

"15424","login","0.0","0","0","2017-06-22 22:51:05 UTC"

"15425","login","0.0","0","0","2017-06-22 22:51:05 UTC"

"13839","login","0.0","0","0","2017-06-22 22:51:08 UTC"

"13336","login","0.0","0","0","2017-06-22 22:51:08 UTC"

"14386","login","0.0","0","0","2017-06-22 22:51:10 UTC"

"10280","login","0.0","0","0","2017-06-22 22:51:11 UTC"

"12025","login","0.0","0","0","2017-06-22 22:51:12 UTC"

"14284","login","0.0","0","0","2017-06-22 22:51:13 UTC"

"11458","login","0.0","0","0","2017-06-22 22:51:17 UTC"

"10852","login","0.0","0","0","2017-06-22 22:51:18 UTC"

"12689","login","0.0","0","0","2017-06-22 22:51:18 UTC"

